time="2018-12-17T06:05:26-05:00" level=info msg="Time: 2018-12-17 11:05:26.164806296 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:05:27-05:00" level=info msg="Time: 2018-12-17 11:05:27.44536001 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:05:31-05:00" level=info msg="Time: 2018-12-17 11:05:31.410099053 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:05:32-05:00" level=info msg="Time: 2018-12-17 11:05:32.693199525 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:05:36-05:00" level=info msg="Time: 2018-12-17 11:05:36.654389752 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:05:37-05:00" level=info msg="Time: 2018-12-17 11:05:37.941098901 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:05:41-05:00" level=info msg="Time: 2018-12-17 11:05:41.899324863 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:05:43-05:00" level=info msg="Time: 2018-12-17 11:05:43.189557743 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:05:47-05:00" level=info msg="Time: 2018-12-17 11:05:47.145356013 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:05:48-05:00" level=info msg="Time: 2018-12-17 11:05:48.438153021 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:05:52-05:00" level=info msg="Time: 2018-12-17 11:05:52.389251237 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:05:53-05:00" level=info msg="Time: 2018-12-17 11:05:53.684740644 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:05:57-05:00" level=info msg="Time: 2018-12-17 11:05:57.758637116 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:05:59-05:00" level=info msg="Time: 2018-12-17 11:05:59.009127133 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:06:03-05:00" level=info msg="Time: 2018-12-17 11:06:03.003850444 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:06:04-05:00" level=info msg="Time: 2018-12-17 11:06:04.254321046 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:06:08-05:00" level=info msg="Time: 2018-12-17 11:06:08.249013917 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:06:09-05:00" level=info msg="Time: 2018-12-17 11:06:09.503733568 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:06:13-05:00" level=info msg="Time: 2018-12-17 11:06:13.493744621 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:06:14-05:00" level=info msg="Time: 2018-12-17 11:06:14.750056052 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:06:18-05:00" level=info msg="Time: 2018-12-17 11:06:18.73881256 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:06:20-05:00" level=info msg="Time: 2018-12-17 11:06:20.015776699 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:06:24-05:00" level=info msg="Time: 2018-12-17 11:06:24.008750338 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:06:25-05:00" level=info msg="Time: 2018-12-17 11:06:25.27377206 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:06:29-05:00" level=info msg="Time: 2018-12-17 11:06:29.264288795 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:06:30-05:00" level=info msg="Time: 2018-12-17 11:06:30.519446717 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:06:34-05:00" level=info msg="Time: 2018-12-17 11:06:34.513229706 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:06:35-05:00" level=info msg="Time: 2018-12-17 11:06:35.767338455 +0000 UTC , Msg: Temperature: 27"
